order_id;customer_id;orderdate;employee_id;deliverydate
1;23;2022-01-04;4;2022-01-12
2;55;2020-06-03;5;2020-06-11
3;85;2020-03-23;2;2020-03-31
4;83;2020-02-05;9;2020-02-13
5;180;2019-12-28;1;2020-01-05
6;64;2021-11-05;1;2021-11-13
7;71;2019-03-31;7;2019-04-08
8;54;2019-10-29;2;2019-11-06
9;109;2021-09-08;10;2021-09-16
10;15;2019-06-10;9;2019-06-18
11;42;2019-10-16;6;2019-10-24
12;83;2020-04-09;2;2020-04-17
13;36;2020-07-26;2;2020-08-03
14;153;2020-07-20;4;2020-07-28
15;119;2022-01-28;3;2022-02-05
16;59;2020-10-20;4;2020-10-28
17;139;2021-01-24;6;2021-02-01
18;157;2021-07-14;6;2021-07-22
19;17;2019-10-10;4;2019-10-18
20;194;2021-09-28;10;2021-10-06
21;109;2021-06-06;4;2021-06-14
22;182;2021-05-06;2;2021-05-14
23;143;2020-05-25;3;2020-06-02
24;7;2019-03-24;9;2019-04-01
25;11;2020-08-15;1;2020-08-23
26;115;2020-06-28;1;2020-07-06
27;163;2019-09-18;10;2019-09-26
28;64;2020-09-17;8;2020-09-25
29;98;2019-12-23;6;2019-12-31
30;1;2021-11-05;4;2021-11-13
31;10;2021-03-31;5;2021-04-08
32;79;2021-02-19;2;2021-02-27
33;11;2021-07-03;6;2021-07-11
34;15;2019-02-13;2;2019-02-21
35;42;2021-03-24;2;2021-04-01
36;84;2020-04-24;8;2020-05-02
37;127;2019-10-17;3;2019-10-25
38;38;2020-12-01;7;2020-12-09
39;10;2019-02-08;9;2019-02-16
40;98;2019-09-06;4;2019-09-14
41;170;2020-09-12;7;2020-09-20
42;166;2020-05-22;2;2020-05-30
43;56;2020-08-16;2;2020-08-24
44;25;2021-09-23;10;2021-10-01
45;64;2019-03-23;9;2019-03-31
46;41;2021-02-17;8;2021-02-25
47;33;2019-08-29;6;2019-09-06
48;126;2019-02-14;4;2019-02-22
49;51;2022-01-01;7;2022-01-09
50;78;2019-06-22;7;2019-06-30
51;80;2021-04-03;8;2021-04-11
52;5;2020-04-15;6;2020-04-23
53;78;2020-02-20;5;2020-02-28
54;43;2019-02-12;3;2019-02-20
55;200;2021-12-19;9;2021-12-27
56;102;2019-02-27;4;2019-03-07
57;93;2020-04-04;1;2020-04-12
58;151;2019-05-19;10;2019-05-27
59;164;2020-12-13;1;2020-12-21
60;124;2020-08-18;3;2020-08-26
