order_id;product_id;quantity
14576;19;96
10333;13;28
12510;1;1
11763;14;92
13734;11;74
13620;19;65
10353;19;34
12770;3;97
13112;8;12
13003;17;59
12221;13;34
11224;9;63
12863;15;85
14431;20;12
12337;14;31
13836;17;48
13333;4;60
13205;15;60
12155;13;63
13090;19;59
12797;8;54
12957;3;61
12285;16;63
10423;11;81
13509;2;69
10213;4;41
13123;1;52
10091;7;33
11484;8;68
11408;20;62
10055;14;60
11882;13;77
12055;5;88
10577;9;10
10593;3;61
10894;18;18
11267;2;72
12131;13;21
11834;13;24
10934;1;44
10906;20;13
13001;13;7
11821;11;19
10269;18;72
11093;20;59
14653;15;38
12215;15;22
13229;8;29
14486;6;12
10737;11;9
11829;7;7
11897;13;31
14070;6;80
11210;1;53
12436;14;79
14119;17;63
14973;19;73
10266;11;25
10405;5;1
13315;3;5
11060;7;39
14742;12;17
11143;18;58
11217;14;54
13251;20;71
13671;13;10
10142;9;92
12717;18;2
12753;4;10
12515;7;98
13165;5;5
12742;2;84
11890;19;95
12504;16;71
11795;17;23
14682;6;50
10623;1;89
14468;4;59
13875;11;61
13856;14;77
10912;4;31
10387;4;70
14293;6;47
11363;2;86
10828;3;83
12565;9;91
11964;14;17
10251;6;17
14972;5;23
10101;6;22
10161;17;44
12516;9;89
11803;9;53
13911;3;83
13615;15;27
11383;12;25
11336;18;36
13785;20;45
11545;14;22
11163;17;50
14700;15;69
11430;17;76
12970;5;5
13726;20;67
10322;15;60
12865;14;61
11507;16;48
10059;19;23
13339;11;13
12794;6;78
12687;18;16
14200;18;91
14991;11;16
12685;10;36
10210;14;2
10248;16;84
11254;4;17
12989;12;87
13365;18;92
10650;5;38
12480;12;90
10796;1;46
11091;19;21
11541;9;32
11419;9;84
10379;3;31
10121;10;84
12900;19;25
11159;4;39
13827;18;91
13327;15;39
12588;20;46
10082;7;10
12528;1;15
11253;8;18
10976;5;65
10636;20;63
10546;15;88
11300;1;97
10646;7;32
13509;7;35
10848;1;95
14966;5;85
10464;19;90
11788;14;74
12876;14;53
11480;20;84
13449;13;44
12591;5;28
14248;14;31
14958;16;70
13281;19;29
13591;8;54
14976;15;64
10165;9;36
10731;7;54
12714;8;43
14368;2;38
12578;19;38
13107;20;19
14855;13;9
13966;17;85
11697;20;92
14021;1;81
11506;14;40
13708;7;38
11390;3;73
13329;18;12
14281;17;60
12115;18;14
11293;8;24
14644;16;20
11656;15;39
13635;3;82
10087;1;11
14454;11;59
11529;11;87
12764;8;1
13120;10;20
10848;14;82
14739;18;42
14618;20;9
14047;10;91
14472;10;41
14211;20;59
12256;13;56
14648;5;66
14313;2;19
11674;20;53
12437;14;34
12469;5;15
14108;14;89
13991;17;83
12915;15;62
12146;15;91
12569;6;89
14039;20;62
13014;18;92
13274;8;67
10967;17;30
14550;16;42
14248;5;47
12057;3;47
11301;20;75
13097;12;71
14461;10;51
12249;13;19
10949;11;98
11446;14;43
13335;1;9
11865;17;78
10719;10;65
14848;18;20
12098;14;76
10686;6;15
13235;18;64
10497;16;31
11091;19;31
14347;7;35
13417;20;91
10764;20;40
13421;1;28
12414;17;94
11797;13;56
14272;10;32
11730;11;81
13399;5;66
14163;14;22
14519;13;44
10141;2;83
10182;10;66
11443;3;60
14544;4;57
10396;2;70
11387;6;87
10672;14;93
14982;12;61
11988;3;90
14135;11;69
12002;11;23
13907;1;61
14320;16;57
13987;11;2
11946;8;63
12678;9;79
10081;18;13
12836;11;86
14851;10;55
11318;1;48
12604;15;15
12324;8;91
14515;6;26
14855;16;5
13363;15;74
10585;19;32
12812;2;16
12560;10;39
10144;14;84
11489;6;31
11824;7;42
14230;7;93
13343;17;76
10272;15;11
14490;14;6
10416;20;87
10623;14;57
14730;16;14
14571;6;67
14601;4;80
11052;11;97
11144;3;36
11958;20;25
10933;9;46
12372;14;46
14643;1;88
14679;4;24
13441;2;19
14819;17;31
14777;20;13
13451;8;22
10504;8;33
10298;3;77
12866;14;44
11698;1;87
13905;9;74
13565;12;21
14737;8;53
14695;16;8
13575;11;90
12084;3;54
13000;13;40
10825;4;60
11099;6;35
11589;6;59
13045;3;18
14108;3;74
10306;8;78
14903;2;86
10164;14;24
11998;9;69
13766;19;58
10722;12;98
10441;9;2
13242;6;90
13570;19;95
12840;8;91
11352;13;6
10759;5;61
11534;10;5
10594;16;56
13277;3;96
13643;12;90
10616;2;11
10251;17;33
13487;11;35
12968;10;96
13039;11;85
14129;19;57
13262;12;60
12050;8;42
14962;14;68
12253;19;63
13667;15;49
13814;6;77
10119;11;80
10659;20;49
12308;9;12
13067;19;32
14491;6;85
12777;3;88
10614;4;52
14801;9;53
13547;5;51
10545;15;2
11547;8;47
12348;18;59
14779;6;50
11326;12;30
12556;19;83
12877;8;63
13602;19;11
10526;14;74
13455;20;84
12801;16;64
10141;7;80
11004;12;27
13758;16;47
13736;3;31
10774;10;90
11257;13;18
12592;3;81
11837;14;98
14751;5;57
13405;6;84
13655;11;15
14221;18;51
13612;2;6
14103;10;13
14344;10;82
11967;20;73
14328;12;75
12799;19;84
13191;11;80
13222;3;62
14758;12;33
11939;2;58
14643;9;30
11348;6;1
10941;18;38
10939;18;1
13038;13;87
11800;9;55
12686;17;2
13728;1;59
14990;6;90
12522;6;66
11069;19;86
13452;16;5
10606;17;61
11472;3;10
10540;15;31
11609;11;11
11229;15;84
11440;11;58
11689;2;76
11534;10;4
13839;17;25
13593;3;81
14219;11;54
13904;10;6
14562;14;98
14803;2;92
12062;11;31
11118;2;36
13770;14;19
13472;7;52
13401;4;45
12399;6;12
11380;8;40
14352;5;55
14453;20;81
10234;16;5
14884;19;42
12761;15;74
11534;2;43
14762;14;55
14668;3;97
14576;17;89
12198;18;42
14072;7;10
11354;15;40
10013;7;32
13519;5;23
12883;10;51
11676;3;5
12823;4;82
13469;13;99
11507;11;63
11079;16;96
10879;16;51
12928;17;44
13610;7;59
13685;11;27
14617;19;5
13743;12;56
14090;1;48
13852;17;97
14074;20;12
11949;1;89
13906;2;25
12558;7;75
10736;10;29
14197;5;63
12829;3;23
12293;4;49
12224;1;22
14815;5;21
12727;15;47
10644;9;61
13644;7;77
14419;15;66
13847;6;45
11673;6;52
13995;15;18
12289;6;56
12850;17;96
13005;16;22
12845;11;56
12296;3;5
13875;11;11
12452;3;43
14800;1;80
11175;9;75
11899;15;22
10731;6;6
12058;10;22
13618;7;4
12251;16;14
11931;18;46
10353;19;54
10057;7;52
11715;14;58
13013;4;20
11934;3;87
10639;17;58
14321;1;62
11811;17;20
14237;13;76
11427;6;74
10992;14;23
14334;10;48
11633;13;30
14412;20;10
12650;12;99
10307;17;73
13190;19;50
14268;11;43
12607;13;73
10193;1;71
12933;2;13
13358;18;26
10923;12;97
12866;3;27
12105;19;21
12788;1;26
12608;10;78
10268;15;54
14780;20;20
12490;19;35
10460;8;14
12828;10;98
14988;11;39
10082;10;35
14422;9;30
11707;16;17
11581;13;3
11842;18;77
14001;12;72
14633;12;59
14689;8;40
14321;11;59
10624;9;57
11412;7;13
12596;18;24
14902;11;90
11527;4;15
14289;4;36
12525;1;81
13027;5;55
12551;16;13
14893;3;61
10003;7;40
